범죄분류,초범,즉결심판,기소유예,선도유예,수배중,보호처분,선고유예,집행유예중,보석_형집행정지중,가석방,형(재산형포함)집행종료,감호소출소,기타,미상
"아동,청소년의성보호에관한법률(성매수등)",90,0,18,3,1,80,0,2,0,0,22,0,24,22
"아동,청소년의성보호에관한법률(음란물등)",86,0,5,4,0,6,0,0,0,0,1,0,1,5
아동복지법,36,0,4,0,0,4,0,0,0,0,0,0,2,4
여객자동차운수사업법,1,0,0,0,0,0,0,0,0,0,0,0,0,1
여신전문금융업법,53,0,11,1,0,20,1,0,0,0,2,0,6,5
의료법,5,0,2,0,0,2,0,0,0,0,2,0,1,2
자동차관리법,101,0,53,5,0,43,1,0,0,0,16,0,18,25
자동차손해배상보장법,242,0,103,15,0,88,3,1,0,0,38,0,45,33
저작권법,47,0,3,0,0,0,0,0,0,0,0,0,1,77
전자금융거래법,115,0,24,4,0,39,0,0,1,0,18,0,27,46
정보통신망이용촉진및정보보호등에관한법률,398,0,34,8,1,34,0,0,0,0,12,0,13,181
조세범처벌법,0,0,0,0,0,0,0,0,0,0,0,0,0,3
주민등록법,541,0,90,16,0,96,1,1,0,0,26,0,44,28
청소년보호법,628,0,53,14,0,49,0,0,0,0,19,0,30,61
출입국관리법,9,0,0,0,0,0,0,0,0,0,0,0,0,0
특가법(도주차량),39,0,16,1,0,28,0,3,0,0,16,0,12,17
풍속영업의규제에관한법률,1,0,0,0,0,0,0,0,0,0,0,0,0,0
학원의설립운영및과외교습에관한법률,1,0,0,0,0,0,0,0,0,0,0,0,0,0
기타특별법,238,1,55,5,1,135,2,2,0,0,19,0,37,77
